PlateID,Row,Column,Organism,Species,Genotype,Tissue,Comments
75,B,7,Cucumber,Cucumis sativus,P75B07,leaf,WI7864_F2_041
75,C,7,Cucumber,Cucumis sativus,P75C07,leaf,WI7864_F2_062
75,D,7,Cucumber,Cucumis sativus,P75D07,leaf,WI7864_F2_085
75,E,7,Cucumber,Cucumis sativus,P75E07,leaf,WI7864_F2_126
75,F,7,Cucumber,Cucumis sativus,P75F07,leaf,WI7864_F2_150
75,G,7,Cucumber,Cucumis sativus,P75G07,leaf,WI7864_F2_177
75,H,7,Cucumber,Cucumis sativus,P75H07,leaf,WI7864_F2_194
75,A,8,Cucumber,Cucumis sativus,P75A08,leaf,WI7864_F2_021
75,B,8,Cucumber,Cucumis sativus,P75B08,leaf,WI7864_F2_042
75,C,8,Cucumber,Cucumis sativus,P75C08,leaf,WI7864_F2_063
75,D,8,Cucumber,Cucumis sativus,P75D08,leaf,WI7864_F2_086
75,E,8,Cucumber,Cucumis sativus,P75E08,leaf,WI7864_F2_127
75,F,8,Cucumber,Cucumis sativus,P75F08,leaf,WI7864_F2_152
75,G,8,Cucumber,Cucumis sativus,P75G08,leaf,WI7864_F2_180
75,H,8,Cucumber,Cucumis sativus,P75H08,leaf,WI7864_F2_195
75,A,9,Cucumber,Cucumis sativus,P75A09,leaf,WI7864_F2_023
75,B,9,Cucumber,Cucumis sativus,P75B09,leaf,WI7864_F2_044
75,C,9,Cucumber,Cucumis sativus,P75C09,leaf,WI7864_F2_066
75,D,9,Cucumber,Cucumis sativus,P75D09,leaf,WI7864_F2_095
75,E,9,Cucumber,Cucumis sativus,P75E09,leaf,WI7864_F2_129
75,F,9,Cucumber,Cucumis sativus,P75F09,leaf,WI7864_F2_154
75,G,9,Cucumber,Cucumis sativus,P75G09,leaf,WI7864_F2_183
75,H,9,Cucumber,Cucumis sativus,P75H09,leaf,703
75,A,10,Cucumber,Cucumis sativus,P75A10,leaf,WI7864_F2_025
75,B,10,Cucumber,Cucumis sativus,P75B010,leaf,WI7864_F2_045
75,C,10,Cucumber,Cucumis sativus,P75C010,leaf,WI7864_F2_068
75,D,10,Cucumber,Cucumis sativus,P75D010,leaf,WI7864_F2_105
75,E,10,Cucumber,Cucumis sativus,P75E010,leaf,WI7864_F2_130
75,F,10,Cucumber,Cucumis sativus,P75F010,leaf,WI7864_F2_155
75,G,10,Cucumber,Cucumis sativus,P75G010,leaf,WI7864_F2_184
75,H,10,Cucumber,Cucumis sativus,P75H010,leaf,9930
75,A,11,Cucumber,Cucumis sativus,P75A11,leaf,WI7864_F2_028
75,B,11,Cucumber,Cucumis sativus,P75B011,leaf,WI7864_F2_046
75,C,11,Cucumber,Cucumis sativus,P75C011,leaf,WI7864_F2_071
75,D,11,Cucumber,Cucumis sativus,P75D011,leaf,WI7864_F2_112
75,E,11,Cucumber,Cucumis sativus,P75E011,leaf,WI7864_F2_134
75,F,11,Cucumber,Cucumis sativus,P75F011,leaf,WI7864_F2_156
75,G,11,Cucumber,Cucumis sativus,P75G011,leaf,WI7864_F2_185
75,H,11,Cucumber,Cucumis sativus,P75H011,leaf,703x9930 F1
75,A,12,Cucumber,Cucumis sativus,P75A12,leaf,WI7864_F2_030
75,B,12,Cucumber,Cucumis sativus,P75B012,leaf,WI7864_F2_048
75,C,12,Cucumber,Cucumis sativus,P75C012,leaf,WI7864_F2_073
75,D,12,Cucumber,Cucumis sativus,P75D012,leaf,WI7864_F2_113
75,E,12,Cucumber,Cucumis sativus,P75E012,leaf,WI7864_F2_135
75,F,12,Cucumber,Cucumis sativus,P75F012,leaf,WI7864_F2_157
76,A,1,Cucumber,Cucumis sativus,P76A01,leaf,9930
76,B,1,Cucumber,Cucumis sativus,P76B01,leaf,WI7769_F2:3_025
76,C,1,Cucumber,Cucumis sativus,P76C01,leaf,WI7769_F2:3_045
76,D,1,Cucumber,Cucumis sativus,P76D01,leaf,WI7769_F2:3_076
76,E,1,Cucumber,Cucumis sativus,P76E01,leaf,WI7769_F2:3_103
76,F,1,Cucumber,Cucumis sativus,P76F01,leaf,WI7769_F2:3_126
76,G,1,Cucumber,Cucumis sativus,P76G01,leaf,WI7769_F2:3_211
76,H,1,Cucumber,Cucumis sativus,P76H01,leaf,WI7769_F2:3_228
76,A,2,Cucumber,Cucumis sativus,P76A02,leaf,WI7769 F1
76,B,2,Cucumber,Cucumis sativus,P76B02,leaf,WI7769_F2:3_026
76,C,2,Cucumber,Cucumis sativus,P76C02,leaf,WI7769_F2:3_049
76,D,2,Cucumber,Cucumis sativus,P76D02,leaf,WI7769_F2:3_078
76,E,2,Cucumber,Cucumis sativus,P76E02,leaf,WI7769_F2:3_104
76,F,2,Cucumber,Cucumis sativus,P76F02,leaf,WI7769_F2:3_127
76,G,2,Cucumber,Cucumis sativus,P76G02,leaf,WI7769_F2:3_212
76,H,2,Cucumber,Cucumis sativus,P76H02,leaf,WI7769_F2:3_230
76,A,3,Cucumber,Cucumis sativus,P76A03,leaf,PT108-1
76,B,3,Cucumber,Cucumis sativus,P76B03,leaf,WI7769_F2:3_028
76,C,3,Cucumber,Cucumis sativus,P76C03,leaf,WI7769_F2:3_051
76,D,3,Cucumber,Cucumis sativus,P76D03,leaf,WI7769_F2:3_079
76,E,3,Cucumber,Cucumis sativus,P76E03,leaf,WI7769_F2:3_105
76,F,3,Cucumber,Cucumis sativus,P76F03,leaf,WI7769_F2:3_128
76,G,3,Cucumber,Cucumis sativus,P76G03,leaf,WI7769_F2:3_215
76,H,3,Cucumber,Cucumis sativus,P76H03,leaf,WI7769_F2:3_232
76,A,4,Cucumber,Cucumis sativus,P76A04,leaf,WI7769_F2:3_001
76,B,4,Cucumber,Cucumis sativus,P76B04,leaf,WI7769_F2:3_030
76,C,4,Cucumber,Cucumis sativus,P76C04,leaf,WI7769_F2:3_054
76,D,4,Cucumber,Cucumis sativus,P76D04,leaf,WI7769_F2:3_087
76,E,4,Cucumber,Cucumis sativus,P76E04,leaf,WI7769_F2:3_107
76,F,4,Cucumber,Cucumis sativus,P76F04,leaf,WI7769_F2:3_129
76,G,4,Cucumber,Cucumis sativus,P76G04,leaf,WI7769_F2:3_217
76,H,4,Cucumber,Cucumis sativus,P76H04,leaf,WI7769_F2:3_233
76,A,5,Cucumber,Cucumis sativus,P76A05,leaf,WI7769_F2:3_002
76,B,5,Cucumber,Cucumis sativus,P76B05,leaf,WI7769_F2:3_034
76,C,5,Cucumber,Cucumis sativus,P76C05,leaf,WI7769_F2:3_055
76,D,5,Cucumber,Cucumis sativus,P76D05,leaf,WI7769_F2:3_090
76,E,5,Cucumber,Cucumis sativus,P76E05,leaf,WI7769_F2:3_109
76,F,5,Cucumber,Cucumis sativus,P76F05,leaf,WI7769_F2:3_131
76,G,5,Cucumber,Cucumis sativus,P76G05,leaf,WI7769_F2:3_218
76,H,5,Cucumber,Cucumis sativus,P76H05,leaf,WI7769_F2:3_234
76,A,6,Cucumber,Cucumis sativus,P76A06,leaf,WI7769_F2:3_004
76,B,6,Cucumber,Cucumis sativus,P76B06,leaf,WI7769_F2:3_035
76,C,6,Cucumber,Cucumis sativus,P76C06,leaf,WI7769_F2:3_056
76,D,6,Cucumber,Cucumis sativus,P76D06,leaf,WI7769_F2:3_094
76,E,6,Cucumber,Cucumis sativus,P76E06,leaf,WI7769_F2:3_111
76,F,6,Cucumber,Cucumis sativus,P76F06,leaf,WI7769_F2:3_132
76,G,6,Cucumber,Cucumis sativus,P76G06,leaf,WI7769_F2:3_220
76,H,6,Cucumber,Cucumis sativus,P76H06,leaf,WI7769_F2:3_235
76,A,7,Cucumber,Cucumis sativus,P76A07,leaf,WI7769_F2:3_005
76,B,7,Cucumber,Cucumis sativus,P76B07,leaf,WI7769_F2:3_036
76,C,7,Cucumber,Cucumis sativus,P76C07,leaf,WI7769_F2:3_060
76,D,7,Cucumber,Cucumis sativus,P76D07,leaf,WI7769_F2:3_095
76,E,7,Cucumber,Cucumis sativus,P76E07,leaf,WI7769_F2:3_113
76,F,7,Cucumber,Cucumis sativus,P76F07,leaf,WI7769_F2:3_135
76,G,7,Cucumber,Cucumis sativus,P76G07,leaf,WI7769_F2:3_221
76,H,7,Cucumber,Cucumis sativus,P76H07,leaf,WI7769_F2:3_237
76,A,8,Cucumber,Cucumis sativus,P76A08,leaf,WI7769_F2:3_012
76,B,8,Cucumber,Cucumis sativus,P76B08,leaf,WI7769_F2:3_037
76,C,8,Cucumber,Cucumis sativus,P76C08,leaf,WI7769_F2:3_061
76,D,8,Cucumber,Cucumis sativus,P76D08,leaf,WI7769_F2:3_096
76,E,8,Cucumber,Cucumis sativus,P76E08,leaf,WI7769_F2:3_114
76,F,8,Cucumber,Cucumis sativus,P76F08,leaf,WI7769_F2:3_136
76,G,8,Cucumber,Cucumis sativus,P76G08,leaf,WI7769_F2:3_222
76,H,8,Cucumber,Cucumis sativus,P76H08,leaf,WI7769_F2:3_239
76,A,9,Cucumber,Cucumis sativus,P76A09,leaf,WI7769_F2:3_015
76,B,9,Cucumber,Cucumis sativus,P76B09,leaf,WI7769_F2:3_039
76,C,9,Cucumber,Cucumis sativus,P76C09,leaf,WI7769_F2:3_064
76,D,9,Cucumber,Cucumis sativus,P76D09,leaf,WI7769_F2:3_097
76,E,9,Cucumber,Cucumis sativus,P76E09,leaf,WI7769_F2:3_116
76,F,9,Cucumber,Cucumis sativus,P76F09,leaf,WI7769_F2:3_140
76,G,9,Cucumber,Cucumis sativus,P76G09,leaf,WI7769_F2:3_224
76,H,9,Cucumber,Cucumis sativus,P76H09,leaf,WI7769_F2:3_244
76,A,10,Cucumber,Cucumis sativus,P76A10,leaf,WI7769_F2:3_016
76,B,10,Cucumber,Cucumis sativus,P76B10,leaf,WI7769_F2:3_041
76,C,10,Cucumber,Cucumis sativus,P76C10,leaf,WI7769_F2:3_067
76,D,10,Cucumber,Cucumis sativus,P76D10,leaf,WI7769_F2:3_100
76,E,10,Cucumber,Cucumis sativus,P76E10,leaf,WI7769_F2:3_120
76,F,10,Cucumber,Cucumis sativus,P76F10,leaf,WI7769_F2:3_204
76,G,10,Cucumber,Cucumis sativus,P76G10,leaf,WI7769_F2:3_226
76,H,10,Cucumber,Cucumis sativus,P76H10,leaf,PT108-2
76,A,11,Cucumber,Cucumis sativus,P76A11,leaf,WI7769_F2:3_018
76,B,11,Cucumber,Cucumis sativus,P76B11,leaf,WI7769_F2:3_042
76,C,11,Cucumber,Cucumis sativus,P76C11,leaf,WI7769_F2:3_071
76,D,11,Cucumber,Cucumis sativus,P76D11,leaf,WI7769_F2:3_101
76,E,11,Cucumber,Cucumis sativus,P76E11,leaf,WI7769_F2:3_121
76,F,11,Cucumber,Cucumis sativus,P76F11,leaf,WI7769_F2:3_206
76,G,11,Cucumber,Cucumis sativus,P76G11,leaf,WI7769_F2:3_227
76,H,11,Cucumber,Cucumis sativus,P76H11,leaf,WI7769HX F1
76,A,12,Cucumber,Cucumis sativus,P76A12,leaf,WI7769_F2:3_023
76,B,12,Cucumber,Cucumis sativus,P76B12,leaf,WI7769_F2:3_044
76,C,12,Cucumber,Cucumis sativus,P76C12,leaf,WI7769_F2:3_072
76,D,12,Cucumber,Cucumis sativus,P76D12,leaf,WI7769_F2:3_102
76,E,12,Cucumber,Cucumis sativus,P76E12,leaf,WI7769_F2:3_122
76,F,12,Cucumber,Cucumis sativus,P76F12,leaf,WI7769_F2:3_209
77,A,1,Cucumber,Cucumis sativus,P77A01,leaf,WI7769HX_F2_007
77,B,1,Cucumber,Cucumis sativus,P77B01,leaf,WI7769HX_F2_019
77,C,1,Cucumber,Cucumis sativus,P77C01,leaf,WI7769HX_F2_031
77,D,1,Cucumber,Cucumis sativus,P77D01,leaf,WI7769HX_F2_043
77,E,1,Cucumber,Cucumis sativus,P77E01,leaf,WI7769HX_F2_055
77,F,1,Cucumber,Cucumis sativus,P77F01,leaf,WI7769HX_F2_067
77,G,1,Cucumber,Cucumis sativus,P77G01,leaf,WI7864_PMF2_029
77,H,1,Cucumber,Cucumis sativus,P77H01,leaf,WI7864_PMF2_040
77,A,2,Cucumber,Cucumis sativus,P77A02,leaf,WI7769HX_F2_008
77,B,2,Cucumber,Cucumis sativus,P77B02,leaf,WI7769HX_F2_020
77,C,2,Cucumber,Cucumis sativus,P77C02,leaf,WI7769HX_F2_032
77,D,2,Cucumber,Cucumis sativus,P77D02,leaf,WI7769HX_F2_044
77,E,2,Cucumber,Cucumis sativus,P77E02,leaf,WI7769HX_F2_056
77,F,2,Cucumber,Cucumis sativus,P77F02,leaf,WI7769HX_F2_068
77,G,2,Cucumber,Cucumis sativus,P77G02,leaf,WI7864_PMF2_030
77,H,2,Cucumber,Cucumis sativus,P77H02,leaf,WI7864_PMF2_041
77,A,3,Cucumber,Cucumis sativus,P77A03,leaf,WI7769HX_F2_009
77,B,3,Cucumber,Cucumis sativus,P77B03,leaf,WI7769HX_F2_021
77,C,3,Cucumber,Cucumis sativus,P77C03,leaf,WI7769HX_F2_033
77,D,3,Cucumber,Cucumis sativus,P77D03,leaf,WI7769HX_F2_045
77,E,3,Cucumber,Cucumis sativus,P77E03,leaf,WI7769HX_F2_057
77,F,3,Cucumber,Cucumis sativus,P77F03,leaf,WI7769HX_F2_069
77,G,3,Cucumber,Cucumis sativus,P77G03,leaf,WI7864_PMF2_031
77,H,3,Cucumber,Cucumis sativus,P77H03,leaf,WI7864_PMF2_042
77,A,4,Cucumber,Cucumis sativus,P77A04,leaf,WI7769HX_F2_010
77,B,4,Cucumber,Cucumis sativus,P77B04,leaf,WI7769HX_F2_022
77,C,4,Cucumber,Cucumis sativus,P77C04,leaf,WI7769HX_F2_072
77,D,4,Cucumber,Cucumis sativus,P77D04,leaf,WI7769HX_F2_046
77,E,4,Cucumber,Cucumis sativus,P77E04,leaf,WI7769HX_F2_058
77,F,4,Cucumber,Cucumis sativus,P77F04,leaf,WI7769HX_F2_070
77,G,4,Cucumber,Cucumis sativus,P77G04,leaf,WI7864_PMF2_032
77,H,4,Cucumber,Cucumis sativus,P77H04,leaf,WI7864_PMF2_043
77,A,5,Cucumber,Cucumis sativus,P77A05,leaf,WI7769HX_F2_011
77,B,5,Cucumber,Cucumis sativus,P77B05,leaf,WI7769HX_F2_023
77,C,5,Cucumber,Cucumis sativus,P77C05,leaf,WI7769HX_F2_035
77,D,5,Cucumber,Cucumis sativus,P77D05,leaf,WI7769HX_F2_047
77,E,5,Cucumber,Cucumis sativus,P77E05,leaf,WI7769HX_F2_059
77,F,5,Cucumber,Cucumis sativus,P77F05,leaf,WI7769HX_F2_071
77,G,5,Cucumber,Cucumis sativus,P77G05,leaf,WI7864_PMF2_033
77,H,5,Cucumber,Cucumis sativus,P77H05,leaf,WI7864_PMF2_044
77,A,6,Cucumber,Cucumis sativus,P77A06,leaf,WI7769HX_F2_012
77,B,6,Cucumber,Cucumis sativus,P77B06,leaf,WI7769HX_F2_024
77,C,6,Cucumber,Cucumis sativus,P77C06,leaf,WI7769HX_F2_036
77,D,6,Cucumber,Cucumis sativus,P77D06,leaf,WI7769HX_F2_048
77,E,6,Cucumber,Cucumis sativus,P77E06,leaf,WI7769HX_F2_060
77,F,6,Cucumber,Cucumis sativus,P77F06,leaf,WI7864_PMF2_022
77,G,6,Cucumber,Cucumis sativus,P77G06,leaf,WI7864_PMF2_034
77,H,6,Cucumber,Cucumis sativus,P77H06,leaf,WI7864_PMF2_045
77,A,7,Cucumber,Cucumis sativus,P77A07,leaf,WI7769HX_F2_013
77,B,7,Cucumber,Cucumis sativus,P77B07,leaf,WI7769HX_F2_025
77,C,7,Cucumber,Cucumis sativus,P77C07,leaf,WI7769HX_F2_037
77,D,7,Cucumber,Cucumis sativus,P77D07,leaf,WI7769HX_F2_049
77,E,7,Cucumber,Cucumis sativus,P77E07,leaf,WI7769HX_F2_061
77,F,7,Cucumber,Cucumis sativus,P77F07,leaf,WI7864_PMF2_023
77,G,7,Cucumber,Cucumis sativus,P77G07,leaf,WI7864_PMF2_035
77,H,7,Cucumber,Cucumis sativus,P77H07,leaf,WI7864_PMF2_046
77,A,8,Cucumber,Cucumis sativus,P77A08,leaf,WI7769HX_F2_014
77,B,8,Cucumber,Cucumis sativus,P77B08,leaf,WI7769HX_F2_026
77,C,8,Cucumber,Cucumis sativus,P77C08,leaf,WI7769HX_F2_073
77,D,8,Cucumber,Cucumis sativus,P77D08,leaf,WI7769HX_F2_050
77,E,8,Cucumber,Cucumis sativus,P77E08,leaf,WI7769HX_F2_062
77,F,8,Cucumber,Cucumis sativus,P77F08,leaf,WI7864_PMF2_024
77,G,8,Cucumber,Cucumis sativus,P77G08,leaf,WI7864_PMF2_036
77,H,8,Cucumber,Cucumis sativus,P77H08,leaf,WI7864_PMF2_047
77,A,9,Cucumber,Cucumis sativus,P77A09,leaf,WI7769HX_F2_015
77,B,9,Cucumber,Cucumis sativus,P77B09,leaf,WI7769HX_F2_027
77,C,9,Cucumber,Cucumis sativus,P77C09,leaf,WI7769HX_F2_039
77,D,9,Cucumber,Cucumis sativus,P77D09,leaf,WI7769HX_F2_051
77,E,9,Cucumber,Cucumis sativus,P77E09,leaf,WI7769HX_F2_063
77,F,9,Cucumber,Cucumis sativus,P77F09,leaf,WI7864_PMF2_025
77,G,9,Cucumber,Cucumis sativus,P77G09,leaf,WI7864_PMF2_037
77,H,9,Cucumber,Cucumis sativus,P77H09,leaf,WI7864_PMF2_048
77,A,10,Cucumber,Cucumis sativus,P77A10,leaf,WI7769HX_F2_016
77,B,10,Cucumber,Cucumis sativus,P77B10,leaf,WI7769HX_F2_028
77,C,10,Cucumber,Cucumis sativus,P77C10,leaf,WI7769HX_F2_040
77,D,10,Cucumber,Cucumis sativus,P77D10,leaf,WI7769HX_F2_052
77,E,10,Cucumber,Cucumis sativus,P77E10,leaf,WI7769HX_F2_064
77,F,10,Cucumber,Cucumis sativus,P77F10,leaf,WI7864_PMF2_026
77,G,10,Cucumber,Cucumis sativus,P77G10,leaf,WI7864_PMF2_038
77,H,10,Cucumber,Cucumis sativus,P77H10,leaf,WI7841_BC3F1
77,A,11,Cucumber,Cucumis sativus,P77A11,leaf,WI7769HX_F2_017
77,B,11,Cucumber,Cucumis sativus,P77B11,leaf,WI7769HX_F2_029
77,C,11,Cucumber,Cucumis sativus,P77C11,leaf,WI7769HX_F2_041
77,D,11,Cucumber,Cucumis sativus,P77D11,leaf,WI7769HX_F2_074
77,E,11,Cucumber,Cucumis sativus,P77E11,leaf,WI7769HX_F2_065
77,F,11,Cucumber,Cucumis sativus,P77F11,leaf,WI7864_PMF2_027
77,G,11,Cucumber,Cucumis sativus,P77G11,leaf,WI7864_PMF2_039
77,H,11,Cucumber,Cucumis sativus,P77H11,leaf,WI7841_BC3F1
77,A,12,Cucumber,Cucumis sativus,P77A12,leaf,WI7769HX_F2_018
77,B,12,Cucumber,Cucumis sativus,P77B12,leaf,WI7769HX_F2_030
77,C,12,Cucumber,Cucumis sativus,P77C12,leaf,WI7769HX_F2_042
77,D,12,Cucumber,Cucumis sativus,P77D12,leaf,WI7769HX_F2_054
77,E,12,Cucumber,Cucumis sativus,P77E12,leaf,WI7769HX_F2_066
77,F,12,Cucumber,Cucumis sativus,P77F12,leaf,WI7864_PMF2_028
78,A,1,Cucumber,Cucumis sativus,P78A01,leaf,9930
78,B,1,Cucumber,Cucumis sativus,P78B01,leaf,WI7416_F2:3_015
78,C,1,Cucumber,Cucumis sativus,P78C01,leaf,WI7416_F2:3_029
78,D,1,Cucumber,Cucumis sativus,P78D01,leaf,WI7416_F2:3_045
78,E,1,Cucumber,Cucumis sativus,P78E01,leaf,WI7416_F2:3_074
78,F,1,Cucumber,Cucumis sativus,P78F01,leaf,WI7416_F2:3_091
78,G,1,Cucumber,Cucumis sativus,P78G01,leaf,WI7416_F2:3_110
78,H,1,Cucumber,Cucumis sativus,P78H01,leaf,WI7416_F2:3_122
78,A,2,Cucumber,Cucumis sativus,P78A02,leaf,F1
78,B,2,Cucumber,Cucumis sativus,P78B02,leaf,WI7416_F2:3_016
78,C,2,Cucumber,Cucumis sativus,P78C02,leaf,WI7416_F2:3_031
78,D,2,Cucumber,Cucumis sativus,P78D02,leaf,WI7416_F2:3_047
78,E,2,Cucumber,Cucumis sativus,P78E02,leaf,WI7416_F2:3_075
78,F,2,Cucumber,Cucumis sativus,P78F02,leaf,WI7416_F2:3_096
78,G,2,Cucumber,Cucumis sativus,P78G02,leaf,WI7416_F2:3_111
78,H,2,Cucumber,Cucumis sativus,P78H02,leaf,WI7416_F2:3_125
78,A,3,Cucumber,Cucumis sativus,P78A03,leaf,WI7012
78,B,3,Cucumber,Cucumis sativus,P78B03,leaf,WI7416_F2:3_017
78,C,3,Cucumber,Cucumis sativus,P78C03,leaf,WI7416_F2:3_032
78,D,3,Cucumber,Cucumis sativus,P78D03,leaf,WI7416_F2:3_048
78,E,3,Cucumber,Cucumis sativus,P78E03,leaf,WI7416_F2:3_077
78,F,3,Cucumber,Cucumis sativus,P78F03,leaf,WI7416_F2:3_097
78,G,3,Cucumber,Cucumis sativus,P78G03,leaf,WI7416_F2:3_112
78,H,3,Cucumber,Cucumis sativus,P78H03,leaf,WI7416_F2:3_126
78,A,4,Cucumber,Cucumis sativus,P78A04,leaf,WI7416_F2:3_001
78,B,4,Cucumber,Cucumis sativus,P78B04,leaf,WI7416_F2:3_018
78,C,4,Cucumber,Cucumis sativus,P78C04,leaf,WI7416_F2:3_033
78,D,4,Cucumber,Cucumis sativus,P78D04,leaf,WI7416_F2:3_049
78,E,4,Cucumber,Cucumis sativus,P78E04,leaf,WI7416_F2:3_078
78,F,4,Cucumber,Cucumis sativus,P78F04,leaf,WI7416_F2:3_098
78,G,4,Cucumber,Cucumis sativus,P78G04,leaf,WI7416_F2:3_113
78,H,4,Cucumber,Cucumis sativus,P78H04,leaf,WI7416_F2:3_127
78,A,5,Cucumber,Cucumis sativus,P78A05,leaf,WI7416_F2:3_004
78,B,5,Cucumber,Cucumis sativus,P78B05,leaf,WI7416_F2:3_020
78,C,5,Cucumber,Cucumis sativus,P78C05,leaf,WI7416_F2:3_035
78,D,5,Cucumber,Cucumis sativus,P78D05,leaf,WI7416_F2:3_055
78,E,5,Cucumber,Cucumis sativus,P78E05,leaf,WI7416_F2:3_080
78,F,5,Cucumber,Cucumis sativus,P78F05,leaf,WI7416_F2:3_099
78,G,5,Cucumber,Cucumis sativus,P78G05,leaf,WI7416_F2:3_114
78,H,5,Cucumber,Cucumis sativus,P78H05,leaf,WI7416_F2:3_128
78,A,6,Cucumber,Cucumis sativus,P78A06,leaf,WI7416_F2:3_006
78,B,6,Cucumber,Cucumis sativus,P78B06,leaf,WI7416_F2:3_021
78,C,6,Cucumber,Cucumis sativus,P78C06,leaf,WI7416_F2:3_036
78,D,6,Cucumber,Cucumis sativus,P78D06,leaf,WI7416_F2:3_057
78,E,6,Cucumber,Cucumis sativus,P78E06,leaf,WI7416_F2:3_082
78,F,6,Cucumber,Cucumis sativus,P78F06,leaf,WI7416_F2:3_101
78,G,6,Cucumber,Cucumis sativus,P78G06,leaf,WI7416_F2:3_115
78,H,6,Cucumber,Cucumis sativus,P78H06,leaf,WI7416_F2:3_130
78,A,7,Cucumber,Cucumis sativus,P78A07,leaf,WI7416_F2:3_008
78,B,7,Cucumber,Cucumis sativus,P78B07,leaf,WI7416_F2:3_023
78,C,7,Cucumber,Cucumis sativus,P78C07,leaf,WI7416_F2:3_037
78,D,7,Cucumber,Cucumis sativus,P78D07,leaf,WI7416_F2:3_059
78,E,7,Cucumber,Cucumis sativus,P78E07,leaf,WI7416_F2:3_084
78,F,7,Cucumber,Cucumis sativus,P78F07,leaf,WI7416_F2:3_102
78,G,7,Cucumber,Cucumis sativus,P78G07,leaf,WI7416_F2:3_116
78,H,7,Cucumber,Cucumis sativus,P78H07,leaf,WI7416_F2:3_131
